Country,Status,Lifeexpectancy,AdultMortality,infantdeaths,Alcohol,percentageexpenditure,Measles,BMI,under-fivedeaths,Polio,Totalexpenditure,Diphtheria,GDP,Population,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
India,Developing,66.8,193,1100,3,64.6059005,33634,16.4,1500,79,4.33,82,1461.671957,124723629,26.9,27.7,0.58,10.8
India,Developing,66.4,196,1200,2.77,57.73359864,31458,15.9,1600,76,4.28,79,1345.77153,12398691,27,27.8,0.569,10.4
India,Developing,66,2,1300,2.5,0.844186331,56188,15.4,1700,73,4.38,74,19.317765,121427132,27,27.8,0.563,10.5
India,Developing,65.5,23,1300,1.93,43.03043312,44258,14.9,1800,69,4.34,7,991.484634,119714696,27,27.9,0.556,10.2
India,Developing,65.2,26,1400,1.59,5.234770324,41144,14.4,1900,67,4.23,64,118.166373,1179681239,27.1,28,0.546,9.9
India,Developing,64.8,28,1500,1.37,34.85942671,64185,13.9,2000,66,4.25,65,792.259698,1161977719,27.1,28,0.536,9.7
India,Developing,64.4,211,1500,1.27,3.5096369,36711,13.5,2000,65,4.28,65,77.819,1144118674,27.2,28.1,0.526,9.4
India,Developing,64,214,1600,1.2,27.33800857,55443,13,2100,58,4.22,63,621.3183767,1126135777,27.2,28.2,0.518,9.2
India,Developing,63.7,216,1700,1.19,19.4808682,47147,12.6,2200,57,4.3,61,541.1352279,11827848,27.3,28.3,0.505,8.6
India,Developing,63.3,219,1700,1.1,17.81205644,40044,12.2,2300,58,4.4,59,466.2842,18987112,27.4,28.4,0.499,8.4
India,Developing,62.9,222,1800,1,19.00340606,51780,11.8,2400,58,4.5,59,447.138966,171477855,27.5,28.5,0.494,8.3
India,Developing,62.5,224,1800,0.93,19.26615743,38835,11.4,2500,57,4.26,58,438.864634,1535912,27.7,28.6,0.489,8.3
CentralAfricanRepublic,Developing,52.5,397,15,,0,150,22.7,21,47,,47,348.381417,45461,8.2,8.2,0.347,7.1
CentralAfricanRepublic,Developing,58,437,15,0.01,53.43964323,210,22.1,22,47,4.2,47,377.132274,4515392,8.4,8.3,0.345,7.1
CentralAfricanRepublic,Developing,49.9,451,16,0.01,52.37766601,596,21.6,23,23,3.82,23,337.4849614,4499653,8.5,8.5,0.37,7.1
CentralAfricanRepublic,Developing,53,439,16,0.01,7.344808214,141,21.2,23,47,3.62,47,486.41114,449416,8.7,8.6,0.366,7.1
CentralAfricanRepublic,Developing,49.8,443,16,1.66,58.52947463,679,2.7,24,47,3.73,47,494.336779,4476153,8.8,8.8,0.361,6.8
CentralAfricanRepublic,Developing,49.2,446,17,1.67,43.48359197,2,2.2,24,46,3.9,45,446.4434494,4448525,9,8.9,0.352,6.6
CentralAfricanRepublic,Developing,48.6,453,17,1.56,40.45156933,11,19.8,25,45,3.58,42,449.961839,44423,9.1,9.1,0.345,6.4
CentralAfricanRepublic,Developing,47.6,477,17,1.52,67.34137528,12,19.4,25,46,4.3,45,456.8614334,4345386,9.3,9.2,0.338,6.3
CentralAfricanRepublic,Developing,46.8,495,17,1.5,60.04884821,49,19,26,46,4.4,48,397.148467,42758,9.4,9.4,0.33,6.2
CentralAfricanRepublic,Developing,46.3,56,17,1.54,46.90117916,3,18.6,26,47,3.99,51,347.673678,421758,9.6,9.6,0.323,6
CentralAfricanRepublic,Developing,45.9,511,17,1.5,40.92207976,471,18.2,26,47,4.29,54,327.1149461,412791,9.7,9.7,0.319,5.9
CentralAfricanRepublic,Developing,45.7,512,17,1.5,41.50111735,1233,17.9,26,45,4.1,51,313.21598,45536,9.9,9.9,0.315,5.7
CentralAfricanRepublic,Developing,45.7,51,17,1.49,46.11619441,652,17.5,26,44,4.31,47,286.25819,3981665,1,1.1,0.316,5.6
CentralAfricanRepublic,Developing,45.6,58,17,1.47,31.5941587,938,17.2,25,42,4.16,44,253.768343,397612,1.2,1.2,0.315,5.4
CentralAfricanRepublic,Developing,45.6,54,17,1.52,33.65315697,2837,16.8,25,4,3.95,4,243.1586486,383223,1.4,1.4,0.314,5.3
CentralAfricanRepublic,Developing,46,49,16,1.51,30.78382657,3207,16.5,25,38,4.24,37,243.5429317,3754986,1.5,1.5,0.312,5.2
Australia,Developed,82.8,59,1,,0,74,66.6,1,93,,93,56554.3876,23789338,0.6,0.6,0.937,20.4
Australia,Developed,82.7,6,1,9.71,10769.36305,340,66.1,1,92,9.42,92,62214.6912,2346694,0.6,0.6,0.936,20.4
Australia,Developed,82.5,61,1,9.87,11734.85381,158,65.5,1,91,9.36,91,67792.3386,23117353,0.6,0.6,0.933,20.3
Australia,Developed,82.3,61,1,10.03,11714.99858,199,65,1,92,9.36,92,67677.63477,22728254,0.6,0.6,0.93,20.1
Australia,Developed,82,63,1,10.3,10986.26527,190,64.4,1,92,9.2,92,62245.129,223424,0.6,0.6,0.927,19.8
Australia,Developed,81.9,64,1,10.52,8875.786493,70,63.9,1,92,9.2,92,51874.848,223175,0.7,0.6,0.927,19.5
Australia,Developed,81.7,66,1,10.62,7172.275229,104,63.4,1,92,9.5,92,42742.99898,216917,0.7,0.6,0.925,19.1
Australia,Developed,81.3,66,1,10.76,8547.292357,65,62.9,1,92,8.78,92,49664.6854,212492,0.7,0.6,0.921,19.1
Australia,Developed,81.3,66,1,10.56,872.5986092,11,62.5,2,92,8.53,92,4991.98289,28276,0.7,0.6,0.918,19
Australia,Developed,81.2,66,1,10.31,6187.062017,0,62,2,92,8.49,92,36118.28381,26979,0.7,0.6,0.915,20.3
Australia,Developed,81,67,1,10.3,579.1331637,10,61.5,2,92,8.45,92,3416.71483,23948,0.7,0.6,0.91,20.3
Australia,Developed,86,69,1,9.84,588.568371,70,6.9,1,92,8.57,92,3472.37977,21274,0.7,0.6,0.908,20.7
Australia,Developed,83,71,1,9.97,3829.550928,91,6.3,1,92,8.32,93,23465.38559,198954,0.7,0.7,0.905,20.6
Australia,Developed,79.9,73,1,9.84,46.3871819,32,59.6,2,92,8.39,92,281.81763,196514,0.7,0.7,0.902,20.1
Australia,Developed,79.9,75,1,9.53,3064.301144,141,59,2,91,8.18,92,19517.84168,19413,0.7,0.7,0.899,20.5
Australia,Developed,79.5,78,1,10.17,347.18736,108,58.2,2,9,8.8,9,2169.921,19153,0.7,0.7,0.897,20.4
